team,attack,attack_mult,defense,n_xi
France,6.967,1.45,1.03,11
Netherlands,5.758,1.45,1.31,11
Egypt,5.483,1.45,1.17,11
Brazil,5.367,1.45,0.89,11
Sweden,4.917,1.45,1.74,11
England,4.667,1.45,1.03,11
Switzerland,4.533,1.45,1.17,11
Senegal,4.492,1.45,1.6,11
Germany,4.408,1.45,1.31,11
Mexico,4.358,1.45,0.74,11
Japan,4.317,1.45,1.17,11
Morocco,4.15,1.45,1.17,11
Spain,3.792,1.34,0.74,11
Croatia,3.55,1.254,1.46,11
Algeria,3.525,1.245,1.74,11
Canada,3.421,1.209,1.17,11
Belgium,3.4,1.201,1.03,11
New Zealand,3.267,1.154,2.17,11
Portugal,3.033,1.072,0.89,11
Norway,2.908,1.027,1.74,11
Austria,2.767,0.978,1.6,11
Ecuador,2.75,0.972,1.03,11
Iran,2.608,0.921,1.17,11
Colombia,2.6,0.919,0.89,11
United States,2.558,0.904,1.31,11
Ivory Coast,2.483,0.877,1.03,11
Tunisia,2.317,0.819,2.46,11
Uruguay,2.3,0.813,1.31,11
Turkey,2.292,0.81,1.46,11
Czech Republic,2.158,0.762,1.6,11
DR Congo,2.1,0.742,1.17,11
Argentina,2.042,0.721,0.89,11
South Korea,1.833,0.7,1.17,11
Jordan,1.717,0.7,1.89,11
South Africa,1.708,0.7,1.17,11
Australia,1.65,0.7,1.03,11
Uzbekistan,1.467,0.7,2.31,11
Bosnia and Herzegovina,1.458,0.7,1.6,11
Ghana,1.458,0.7,1.03,11
Paraguay,1.458,0.7,1.31,11
Haiti,1.358,0.7,1.89,11
Qatar,1.267,0.7,2.17,11
Curaçao,1.167,0.7,2.03,11
Scotland,1.067,0.7,1.31,11
Cape Verde,0.992,0.7,1.03,11
Saudi Arabia,0.833,0.7,1.46,11
Iraq,0.608,0.7,2.46,11
Panama,0.525,0.7,1.31,11
